Transaction Time|Client Transaction Id|Transaction Id|IP Address|Event Type|A Party Msisdn|B Party Msisdn|input|Result Code|Result Description|Service Class|Requested Product ID|Product Name|Product Type|Product Cost|Applied product cost|Product Validity|Access Channel|Access Code|Charge Indicator|Vat Fee|Language Id|Iname|Circle Code|Pay Source|Send sms|Skip charging|Bill Cycle ID|User ID|Origin Host|Faf Indicator|Faf MSISDN|Offer ID|New Imei|Old Imei|Dealer ID|Transfer Remark|DrCr|Subscription Date|Expiry Date|Last Renewal Date|Grace Expiry Date|Status|Subscription Mode|Network Status|Last Status|Status Change time|Command Count|Charging Session Id|Notification Message|Commission Fee|Transfer Fee|GL Code|State|Subscriber Type|OpParam1|OpParam2|OpParam3|OpParam4|OpParam5|OpParam6|OpParam7|OpParam8|OpParam9|OpParam10|OpParam11|OpParam12|TDF_Event_Class|TDF_Event_Name||TDF_Periodic_Charge|TDF_Usage|External Data1|External Data2|External Data3|External Data4|Callback|ParentProductSPInfo
01/07/2019 15:24:24:665|1561980264525|||USSDBrowsing|971520001714||||||||||||USSD|*143#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:24:36:183|1561980264525|||USSDBrowsing|971520001714||||||||||||USSD|*143*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:24:44:394|1561980264525|||USSDBrowsing|971520001714||||||||||||USSD|*143*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:24:53:171|1561980264525|||USSDBrowsing|971520001714||||||||||||USSD|*143*1*1*2*3#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:27:34:644|1561980454524|2533500454695|10.95.214.136|NACT|971520000141||NACT_NBNB_PurchaseBundleUSSD02|0|SUCCESS|1002|1646|NBNB_PurchaseBundleUSSD02|SMS|0|0|1 Days|USSD|*135*65*2*2*1#||5|2|USSD|UAE|AIR||true||||||||||||01/07/2019 15:27:34:000|02/07/2019 15:27:34:000||||Adhoc||||0|2533500454695|You can activate the Data Credit Protection feature only with an active data bundle.To activate a data bundle simply dial *135#|||||||||||||||||||||||||||false|
01/07/2019 15:27:34:676|1561980454524|||USSDBrowsing|971520000141||||||||||||USSD|*135*65*2*2*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:28:01:295|1561980481188|2533500481348|10.95.214.136|NACT|971520000141||NACT_NBNB_PurchaseBundleUSSD02|0|SUCCESS|1002|1646|NBNB_PurchaseBundleUSSD02|SMS|0|0|1 Days|USSD|*135*65*2*2*1#||5|2|USSD|UAE|AIR||true||||||||||||01/07/2019 15:28:01:000|02/07/2019 15:28:01:000||||Adhoc||||0|2533500481348|You can activate the Data Credit Protection feature only with an active data bundle.To activate a data bundle simply dial *135#|||||||||||||||||||||||||||false|
01/07/2019 15:28:01:327|1561980481188|||USSDBrowsing|971520000141||||||||||||USSD|*135*65*2*2*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:30:57:405|14573701232679901|14573701232679901|10.95.214.136|AUTACT|971520000701||NACT_BBSoc|0|SUCCESS|1051|1803|BBSoc|Data|150|150|1 Days|WEB|RS NACT_UAE_Data_1803|Reserve-Commit|5|1|RS|UAE|ScapV2|true|false||||||||||||02/05/2019 15:30:00:000|02/07/2019 15:30:57:000|30/06/2019 15:30:57:000|05/07/2019 15:30:57:000|active|Renewal||active||2|14573701232679901|"Thanks for subscribing to BlackBerry Social daily service! The daily fee for the service will be deducted from your ""more time"" or ""more credit"" balance. The daily limit for data is 100 MB. For any use beyond 100MB, please purchase an additional bundle."||||||||||||||||||Bundle|BISSocialFee_DRC|BISSocial1Day_VT|EntBISSocial_PC||||||false|
01/07/2019 15:31:18:958|1561980678846|||USSDBrowsing|971520001714||||||||||||USSD|*143#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:31:29:789|1561980678846|||USSDBrowsing|971520001714||||||||||||USSD|*143*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:31:40:950|1561980678846|||USSDBrowsing|971520001714||||||||||||USSD|*143*1*2#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:31:50:742|1561980678846|2533500712429|10.95.214.136|NACT|971520001714||NACT_NewPhilOff_SMS27|0|SUCCESS|1001|1625|NewPhilOff_SMS27|SMS|0|0|1 Days|USSD|*143*1*2*1*1#||5|2|USSD|UAE|AIR||true||||||||||||01/07/2019 15:31:50:000|02/07/2019 15:31:50:000||||Adhoc||||0|2533500712429|Your requested bundle is not active.|||||||||||||||||||||||||||false|
01/07/2019 15:31:50:758|1561980678846|||USSDBrowsing|971520001714||||||||||||USSD|*143*1*2*1*1#|||||UAE||||||||||||||||||||||||||||||||||||||||||||||||||||||
01/07/2019 15:32:20:310|1000103762|2533500742184|10.95.214.136|RACT|971520001946||RACT_OneWayFnFWeekly1|9001|FAILURE|1001|2064|OneWayFnFWeekly1|Voice|1904|0|7 Days|WEB|TIBCO RACT_UAE_Voice_2064||5|2|TIBCO|UAE|AIR||false|||SIEBEL||||||SIEBEL||||||||Renewal||||0|2533500742184|You’ve reached the maximum number of changes/purchases allowed per day. Please try again tomorrow.|||||||||||||||||||||||||||false|
